Variable,Baseline,1Fl 1Pr 1Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,2Fl .47Pr 1Flz,5Fl .47Pr 1Flz,5Fl .47Pr 1.6Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .47Pr 10Flz,2Fl .27Pr 1Flz,5Fl .27Pr 1Flz,5Fl .27Pr 1.6Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .27Pr 10Flz,2Fl .125Pr 1Flz,5Fl .125Pr 1Flz,5Fl .125Pr 1.6Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .125Pr 10Flz,2Fl .0625Pr 1Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 1.6Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz,5Fl .0625Pr 10Flz,1Fl MixPr 1Flz,2Fl MixPr 1Flz,5Fl MixPr 1Flz,5Fl MixPr 1.6Flz,5Fl MixPr 2Flz,5Fl MixPr 4Flz,5Fl MixPr 10Flz,code
Energy Vehicle STD SC [GJ],0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,0.055383936,3448
Energy Vehicle STD VT [GJ],0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,0.018906428,3449
Energy Vehicle STD ST [GJ],0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,0.015283202,3450
Energy Vehicle STD CT [GJ],0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,0.029361841,3451
Energy Vehicle STD CC [GJ],0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,0.026504277,3452
Energy Vehicle STD GG [GJ],0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,0.069413149,3453
Energy Vehicle STD TD [GJ],0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,0.018341568,3454
Energy Vehicle STD 3D [GJ],0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,0.027738602,3455
Energy Vehicle STD MA [GJ],0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,0.022791839,3456
Energy Vehicle STD BA [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457
Energy Vehicle STD SM [GJ],0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,0.018740352,3458
Energy Vehicle STD SO [GJ],0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,0.027430787,3459
Energy Vehicle STD SR [GJ],0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,0.007560416,3460
Energy Vehicle STD WH [GJ],0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,0.021853557,3461
Energy Vehicle STD we [GJ],0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,0.073290149,3462
Energy Vehicle STD VN [GJ],0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,0.051419777,3463
Energy Vehicle STD un [GJ],0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,0.011192381,3464
Energy Vehicle STD EM [GJ],0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,0.019960748,3465
Energy Vehicle STD VC [GJ],0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,0.024789737,3466
Energy Vehicle STD pe [GJ],0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,0.008403545,3467
Energy Vehicle STD CM [GJ],0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,0.036471269,3468
Energy Vehicle STD DE [GJ],0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,0.04467993,3469
Energy Vehicle STD ca [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470
Energy Vehicle STD ri [GJ],0.014166092,0.014307834,0.014463276,0.014599664,0.014763943,0.016363937,0.02102726,0.014569375,0.014674814,0.016255532,0.021358983,0.014125323,0.014465424,0.014437468,0.014254908,0.014967334,0.018473739,0.014726825,0.014761552,0.014712245,0.014861642,0.014968641,0.017167369,0.015745992,0.015748143,0.015641148,0.015597884,0.015758052,0.016972142,0.01676955,0.016966328,0.016866543,0.016720437,0.016975986,0.017770948,0.016986042,0.016841694,0.017476366,0.01723657,0.017194168,0.017751788,0.019524569,3471
Energy Vehicle STD AM [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3472
Energy Vehicle STD CE [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3473
Energy Vehicle STD AY [GJ],0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,0.011838391,3474
Energy Vehicle STD SB [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3475
Energy Vehicle STD HF [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3476
Energy Vehicle STD Biodiesel [GJ],0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,0.027810444,3477
Energy Vehicle STD Diesel [GJ],0.026288256,0.026291914,0.02626847,0.02629395,0.026354081,0.026395098,0.026456815,0.026340726,0.026350745,0.026388644,0.026491692,0.026334121,0.026372297,0.026443701,0.026443241,0.026532279,0.026657434,0.026418834,0.026428085,0.026459799,0.026529901,0.026663272,0.02681906,0.026490741,0.02649418,0.026555978,0.026585633,0.026735622,0.026999535,0.026542659,0.026541561,0.026605303,0.026624754,0.026798053,0.027108413,0.026533151,0.026498408,0.026487688,0.026557738,0.026568137,0.026735324,0.026922184,3478
Energy Vehicle STD Gasoline [GJ],0.017336196,0.01739339,0.017416146,0.017354302,0.017407454,0.01742518,0.017902495,0.017453027,0.017401353,0.017468222,0.018070289,0.017316791,0.017456612,0.017531335,0.017391328,0.017378091,0.017886824,0.017409644,0.017499685,0.017479631,0.01754233,0.017453713,0.017756511,0.017506134,0.017521286,0.017533238,0.017513545,0.01758673,0.017760521,0.017581043,0.017566188,0.01757764,0.017538111,0.017725549,0.017972181,0.017631664,0.017591233,0.017607301,0.017634424,0.01763012,0.017886608,0.018209607,3479
Energy Vehicle STD Electricity [GJ],0.002522227,0.002630967,0.00241439,0.002453838,0.002488721,0.002504897,0.002621646,0.002273283,0.002483351,0.002477204,0.002408582,0.002458488,0.002397099,0.002430311,0.002662161,0.002606605,0.002492203,0.002472455,0.002528939,0.002411069,0.002527531,0.002468391,0.002605778,0.002521778,0.002435467,0.002454494,0.002513659,0.002627736,0.002706115,0.002338438,0.00241223,0.002600586,0.002545852,0.002589527,0.0025559,0.002389012,0.002505322,0.002400357,0.002480765,0.002675075,0.002580733,0.002599328,3480
Energy Vehicle STD Food [GJ],6.79E-05,6.76E-05,6.78E-05,6.73E-05,6.7E-05,6.63E-05,6.61E-05,6.72E-05,6.7E-05,6.66E-05,6.61E-05,6.81E-05,6.84E-05,6.77E-05,6.73E-05,6.68E-05,6.65E-05,6.84E-05,6.86E-05,6.82E-05,6.8E-05,6.77E-05,6.67E-05,6.9E-05,6.89E-05,6.85E-05,6.85E-05,6.8E-05,6.69E-05,6.98E-05,6.95E-05,6.9E-05,6.89E-05,6.82E-05,6.73E-05,6.93E-05,6.9E-05,6.89E-05,6.85E-05,6.85E-05,6.78E-05,6.7E-05,3481
Energy VehicleMIN [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482
Energy Vehicle MIN Walk [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3483
Energy Vehicle MIN Bike [GJ],1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,1.06E-11,3484
Energy Vehicle MIN Car [GJ],1.26E-09,1.3E-09,4.89E-10,1.26E-09,1.3E-09,3.51E-10,1.26E-09,6.26E-10,1.26E-09,1.3E-09,1.26E-09,1.26E-09,1.26E-09,3.51E-10,1.26E-09,1.26E-09,1.26E-09,3.51E-10,1.26E-09,1.26E-09,1.39E-09,6.26E-10,1.26E-09,6.26E-10,6.26E-10,1.26E-09,3.51E-10,1.26E-09,1.3E-09,1.26E-09,1.26E-09,3.51E-10,3.51E-10,1.26E-09,1.26E-09,4.89E-10,1.26E-09,2.81E-10,1.3E-09,1.26E-09,1.04E-09,1.26E-09,3485
Energy Vehicle MIN Car Emergency [GJ],1.39E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.39E-09,1.3E-09,1.3E-09,1.39E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.39E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.39E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,1.3E-09,3486
Energy Vehicle MIN Car HOV2 Emergency [GJ],1.3E-09,1.39E-09,1.3E-09,8.02E-06,6.46E-06,1.61E-09,6.86E-06,2.93E-06,1.39E-09,7.34E-06,6.76E-06,1.3E-09,1.3E-09,1.39E-09,1.3E-09,7.34E-06,1.3E-09,6.66E-06,7.65E-06,3.66E-09,1.39E-09,1.39E-09,4.84E-06,1.39E-09,6.53E-06,7.65E-06,4.65E-06,6.46E-06,1.3E-09,7.12E-06,7.32E-06,3.66E-09,8.4E-06,1.3E-09,1.39E-09,6.99E-06,1.61E-09,1.39E-09,1.39E-09,1.3E-09,1.3E-09,1.39E-09,3487
Energy Vehicle MIN Car HOV3 Emergency [GJ],1.3E-09,3.66E-09,6.43E-06,1.39E-09,1.39E-09,1.3E-09,1.3E-09,7.84E-06,1.39E-09,8.32E-06,1.3E-09,1.39E-09,1.3E-09,1.39E-09,1.3E-09,1.3E-09,1.3E-09,1.39E-09,1.3E-09,4.63E-06,1.3E-09,3.66E-09,7.25E-06,1.3E-09,1.3E-09,7.5E-06,1.39E-09,7.41E-06,1.3E-09,6.42E-06,1.3E-09,7.24E-06,1.39E-09,3.66E-09,6.14E-06,1.3E-09,1.39E-09,1.3E-09,8.28E-06,1.3E-09,7.65E-06,1.39E-09,3488
Energy Vehicle MIN Ride Hail [GJ],1.61E-09,1.84E-09,1.61E-09,1.84E-09,1.61E-09,1.37E-09,1.61E-09,1.61E-09,1.84E-09,1.84E-09,1.61E-09,1.37E-09,1.84E-09,1.37E-09,1.84E-09,1.37E-09,1.61E-09,1.84E-09,1.84E-09,1.61E-09,1.84E-09,1.84E-09,1.84E-09,1.84E-09,1.92E-09,1.26E-09,1.61E-09,1.84E-09,1.61E-09,1.37E-09,1.84E-09,1.84E-09,1.37E-09,1.84E-09,1.35E-09,1.61E-09,1.37E-09,1.84E-09,1.61E-09,1.84E-09,1.84E-09,3.52E-10,3489
Energy Vehicle MIN Empty Ride Hail [GJ],1.26E-09,1.84E-09,1.61E-09,1.34E-09,1.37E-09,1.3E-09,1.35E-09,1.26E-09,1.37E-09,1.04E-09,1.26E-09,1.61E-09,1.61E-09,1.35E-09,1.26E-09,1.03E-09,4.86E-10,1.84E-09,1.3E-09,1.21E-09,1.37E-09,1.3E-09,3.5E-10,1.35E-09,1.61E-09,1.26E-09,1.61E-09,1.35E-09,1.24E-09,1.34E-09,1.61E-09,1.38E-09,1.37E-09,1.26E-09,1.26E-09,1.84E-09,1.37E-09,1.61E-09,1.35E-09,1.61E-09,1.26E-09,3.52E-10,3490
Energy Vehicle MIN Ride Hail WC [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3491
Energy Vehicle MIN Empty Ride Hail WC [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492
Energy Vehicle MIN CAV [GJ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3493
Energy Vehicle MIN Car HOV2 [GJ],1.26E-09,1.61E-09,1.61E-09,1.3E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.39E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.39E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.3E-09,1.26E-09,1.26E-09,1.61E-09,1.26E-09,1.61E-09,1.39E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.3E-09,3494
Energy Vehicle MIN Car HOV3 [GJ],6.26E-10,1.61E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.26E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.39E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.26E-09,1.61E-09,1.61E-09,1.61E-09,1.61E-09,1.48E-09,1.61E-09,1.26E-09,1.3E-09,1.61E-09,1.3E-09,1.61E-09,1.61E-09,1.3E-09,1.26E-09,3495
Energy Vehicle MIN Bus [GJ],8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,8.81E-05,3496
Energy Vehicle MIN Tram [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3497
Energy Vehicle MIN Rail [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498
Energy Vehicle MIN Subway [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499
Energy Vehicle MIN Cable Car [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
Energy Vehicle MIN Ferry [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3501
Energy Vehicle MIN Empty Bus [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3502
Energy Vehicle MIN Empty Tram [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503
Energy Vehicle MIN Empty Rail [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504
Energy Vehicle MIN Empty Subway [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505
Energy Vehicle MIN Empty Cable Car [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506
Energy Vehicle MIN Empty Ferry [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507
Energy Vehicle MIN SF [GJ],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508
