taz,parkingType,chargingType,reservedFor,pricingModel,feeInCents,parkingZoneId,numStalls
4.8453E+12,Public,NoCharger,Any,FlatFee,0,285,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,286,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,287,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,288,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,289,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,290,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,291,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,292,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,293,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,294,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,295,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,296,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,297,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,298,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,299,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,300,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,301,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,302,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,303,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,304,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,305,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,306,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,307,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,308,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,309,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,310,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,311,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,312,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,313,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,314,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,315,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,316,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,317,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,318,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,319,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,320,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,321,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,322,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,323,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,324,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,325,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,326,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,327,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,328,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,329,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,330,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,331,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,332,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,333,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,334,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,335,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,336,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,337,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,338,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,339,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,340,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,341,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,342,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,343,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,344,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,345,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,346,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,347,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,348,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,349,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,350,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,351,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,352,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,353,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,354,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,355,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,356,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,357,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,358,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,359,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,360,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,361,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,362,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,363,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,364,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,365,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,366,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,367,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,368,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,369,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,370,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,371,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,372,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,373,35
4.8055E+12,Public,NoCharger,Any,FlatFee,0,374,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,375,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,376,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,377,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,378,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,379,35
4.8021E+12,Public,NoCharger,Any,FlatFee,0,380,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,381,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,382,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,383,35
4.8053E+12,Public,NoCharger,Any,FlatFee,0,384,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,385,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,386,35
4.8491E+12,Public,NoCharger,Any,FlatFee,0,387,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,388,35
4.8453E+12,Public,NoCharger,Any,FlatFee,0,389,35
4.8209E+12,Public,NoCharger,Any,FlatFee,0,390,35
